Date,2019Q2,2019Q1,2018Q4,2018Q3,2018Q2,2018Q1,2017Q4,2017Q3,2017Q2,2017Q1,2016Q4,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1,2011Q4,2011Q3,2011Q2,2011Q1,2010Q4,2010Q3,2010Q2,2010Q1,2009Q4,2009Q3,2009Q2,2009Q1,2008Q4,2008Q3,2008Q2,2008Q1,2007Q4,2007Q3,2007Q2,2007Q1,2006Q4,2006Q3,2006Q2,2006Q1,2005Q4,2005Q3,2005Q2,2005Q1,2004Q4,2004Q3,2004Q2,2004Q1,2003Q4,2003Q3,2003Q2,2003Q1,2002Q4,2002Q3,2002Q2,2002Q1,2001Q4,2001Q3,2001Q2
3/31/13,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1.7,1.8,2.6,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/12,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.2,2.6,3,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,2.5,2.6,2.8,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.3,2.4,2.9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.4,2.2,2.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.6,3.5,3.4,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.4,3.1,3.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.5,2.7,3.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,2.4,2.3,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.8,2.8,2.7,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.3,2.7,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,2.7,2.4,2.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.3,2.5,2.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.2,1.7,1.8,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,0.4,1,0.9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,-1.8,0.8,2.1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.2,-1.1,1.6,2.3,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9,0.7,1.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.7,2.8,2.8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1.3,2.3,2.9,3,,,,,,,,,,,,,,,,,,,,,,,,
3/31/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,2.2,2.7,2.9,3.1,,,,,,,,,,,,,,,,,,,,,,,
12/31/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.7,2.9,3.2,2.9,,,,,,,,,,,,,,,,,,,,,,
9/30/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.6,3,2.9,3,,,,,,,,,,,,,,,,,,,,,
6/30/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.7,2.9,2.7,3,,,,,,,,,,,,,,,,,,,,
3/31/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.7,2.9,2.9,3.3,,,,,,,,,,,,,,,,,,,
12/31/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.9,3,3.2,3.2,,,,,,,,,,,,,,,,,,
